objeto,denominacao_objeto,classificacao
22632479,Baixa de Material - Diferenças - Maio,MATERIAIS
22633974,Baixa de Material - AMV 204 - IRS,MATERIAIS
22634225,Baixa de Material - AMV 192S - IRS,MATERIAIS
22634239,OS para Baixa de Materiais Baixada Santi,MATERIAIS
22634797,Baixa de Material - AMV 192N - IRS,MATERIAIS
22639875,BAIXA 204 - IRS - SIMPLES - 1:10,MATERIAIS
22639927,BAIXA DE AMV 192S - IRS,MATERIAIS
22639930,Baixa de Material - AMV 192N - IRS,MATERIAIS
22640007,"Baixa Material Solda - IRS - L: 1, 2, 5",MATERIAIS
22640064,BAIXA AMV 5 - MISTO 1:10 - PRAINHA,MATERIAIS
22650175,Baixa materiais - PI Taubaté,SERVIÇOS
22650176,Baixa materiais - Passarela Taubaté 1,SERVIÇOS
22660043,OS para Baixa de Materiais,MATERIAIS
22697897,Baixa de Material - Pátio Prainha - 1 KM,MATERIAIS
22698018,Baixa de Material - Pátio Prainha - 1 KM,MATERIAIS
22698032,Baixa de Material - Quilombo - Dormente,MATERIAIS
22700696,Baixa de Material - Areais - Dormente,MATERIAIS
22700752,Baixa de Material - Areais - Trilho,MATERIAIS
22700820,Baixa de Material - Areais - Brita,MATERIAIS
22700983,Baixa de Material - Quilombo - Trilho,MATERIAIS
22701042,baixa brita - Vedação Aparecida,SERVIÇOS
22701057,Baixa de Material - IPG/IRS-Dormente L2,MATERIAIS
22701065,Baixa de Material - IPG/IRS - Trilho  L2,MATERIAIS
22701069,Baixa de Material - IPG/IRS - Brita  L2,MATERIAIS
22701077,Baixa de Material - Prainha - Brita,MATERIAIS
22701206,Baixa de Material-Remodelação- AMV56S- 1,MATERIAIS
22701210,Baixa de Material-Remodelação- AMV56S- 2,MATERIAIS
22701247,Baixa materiais EE - Taubaté 2,SERVIÇOS
22704330,Baixa de Material - Remodelação- AMV144N,MATERIAIS
22704675,Baixa de Material - Prainha - AMV 2,MATERIAIS
22704693,Baixa de Material - Prainha - AMV 3,MATERIAIS
22704872,Baixa de Material - Quilombo - AMV 1,MATERIAIS
22704929,Baixa de Material - Quilombo - AMV 4,MATERIAIS
22708041,Baixa de Material - Areais - AMV 6,MATERIAIS
22710062,OS para Baixa de Materiais Baixada Santi,MATERIAIS
22714525,Baixa de Material - Areais - AMV 7,MATERIAIS
22714697,Baixa de Material - Remodelação-  AMV110,MATERIAIS
22714896,BAIXA LASTRO INFRA PÁTIOS,MATERIAIS
22714929,BAIXA LASTRO INFRA PÁTIOS,MATERIAIS
22714938,BAIXA LASTRO INFRA PÁTIOS,MATERIAIS
22761757,Entrega_Pindamonhangaba_Brita,MATERIAIS
22763710,Entrega_Pátio Areais_Brita,MATERIAIS
22763711,Entrega_Pátio Prainha_Brita,MATERIAIS
22763712,Entrega_Pátio Quilombo_Brita,MATERIAIS
22763745,Entrega_Pátio Areais_Trilho+Solda,MATERIAIS
22763747,SOLDAS DIPO,MATERIAIS
22763748,Entrega_Pátio Quilombo_Trilho+Solda,MATERIAIS
22771505,Entrega_Pátio Areais_AMV 8,MATERIAIS
22771607,Entrega_Pátio Areais_Dormentes,MATERIAIS
22774358,Entrega_Pátio Prainha_AMV,MATERIAIS
22774409,Entrega_Pátio Prainha_Dormentes,MATERIAIS
22774571,Entrega_Pátio Quilombo_AMV 3,MATERIAIS
22774575,Entrega_Pátio Quilombo_AMV 2,MATERIAIS
22774789,Entrega_Pátio Quilombo_Dormentes,MATERIAIS
22792599,Baixa materiais EE - interf. Aparecida,MATERIAIS
22795064,BAIXA DE MATERIAL,MATERIAIS
22795372,BAIXA DE MATERIAL,MATERIAIS
22795377,BAIXA DE MATERIAL,MATERIAIS
22795388,BAIXA DE MATERIAL,MATERIAIS
22801471,Entrega_Pátio Pindamonhangaba_Trilho,MATERIAIS
22801495,BAIXA DE LASTRO INFRA,MATERIAIS
22801537,BAIXA LASTRO INFRA,MATERIAIS
22801568,BAIXA DE LASTRO INFRA,MATERIAIS
22801642,Entrega_Pátio Pindamonhangaba_Dormente,MATERIAIS
22801906,,MATERIAIS
22823085,OS para Baixa de Materiais,MATERIAIS
22827025,Baixa AMV 122,MATERIAIS
22833011,BAIXA DE LASTRO INFRA,MATERIAIS
22833174,BAIXA DE LASTRO INFRA,MATERIAIS
22833186,BAIXA DE LASTRO INFRA,MATERIAIS
22833306,Baixa AMV 25P,MATERIAIS
22835921,Baixa AMV 26P,MATERIAIS
22835934,Baixa AMV 28P,MATERIAIS
22836002,Baixa AMV 144S,MATERIAIS
22836145,Baixa AMV 128A,MATERIAIS
22851196,Baixa materiais - Interf Quilombo EE,SERVIÇOS
22854681,"1,353 Km - bitola mista+larga - L12+L10",MATERIAIS
22877628,OS para Baixa de Materiais,MATERIAIS
22877996,BAIXA DE LASTRO INFRA,MATERIAIS
22883203,OS para Baixa de Materiais,MATERIAIS
22883322,Baixa AMV 134N,MATERIAIS
22890915,Baixa materiais - EE Pátio Quilombo,SERVIÇOS
22927857,AMV 1_simples 1:14_ICG,MATERIAIS
22931684,"0,68 Km - bitola mista - L01 Quilombo",MATERIAIS
22931685,"1,097 Km - bitola larga - L10_ISN",MATERIAIS
22969372,Baixa AMV 32N,MATERIAIS
22969547,Baixa AMV 29P,MATERIAIS
22969737,Baixa AMV 4P e 24P,MATERIAIS
22969761,Baixa AMV 98N,MATERIAIS
22969762,Baixa AMV 126,MATERIAIS
22969767,Baixa AMV 96,MATERIAIS
22969769,Baixa AMV 134S,MATERIAIS
